#  Printing Reflectance, Absorptance by layers and Transmittance (input statement at line 58)
#  Simulation date:
#    Mon Jul 10 14:26:27 2023
# Reflectance, Absorptance by layers and Transmittance
# Wavelenght [m]	Reflectance, Absorptance for each layer, Transmittance [] 
#  lambda	Reflectance	Layer  0	Layer  1	Layer  2	Layer  3	Layer  4	Layer  5	Layer  6	Transmittance	Sum
6.250000e-007	8.054139e-002	0.000000e+000	4.895829e-003	1.633190e-003	9.107283e-001	3.947289e-004	3.772662e-005	1.767100e-003	1.037211e-012	9.999983e-001
6.300000e-007	9.347969e-002	0.000000e+000	5.062657e-003	1.547167e-003	8.976962e-001	3.830520e-004	3.970182e-005	1.793265e-003	1.043343e-012	1.000002e+000
6.350000e-007	1.075370e-001	0.000000e+000	5.251097e-003	1.460536e-003	8.835252e-001	3.703559e-004	4.169864e-005	1.816400e-003	1.048454e-012	1.000002e+000
6.400000e-007	1.219791e-001	0.000000e+000	5.457986e-003	1.364034e-003	8.689624e-001	3.564530e-004	4.373039e-005	1.837206e-003	1.053011e-012	1.000001e+000
6.450000e-007	1.360363e-001	0.000000e+000	5.688264e-003	1.267998e-003	8.547797e-001	3.267572e-004	4.588672e-005	1.856168e-003	1.057341e-012	1.000001e+000
6.500000e-007	1.489376e-001	0.000000e+000	5.927429e-003	1.167045e-003	8.417533e-001	2.951702e-004	4.807506e-005	1.872537e-003	1.061063e-012	1.000001e+000
6.550000e-007	1.598457e-001	0.000000e+000	6.173822e-003	1.069399e-003	8.307018e-001	2.746558e-004	5.030644e-005	1.885320e-003	1.063380e-012	1.000001e+000
6.600000e-007	1.679866e-001	0.000000e+000	6.413669e-003	9.721808e-004	8.224314e-001	2.524377e-004	5.247123e-005	1.892052e-003	1.063241e-012	1.000001e+000
6.650000e-007	1.726147e-001	0.000000e+000	6.642197e-003	8.823137e-004	8.176799e-001	2.371935e-004	5.444354e-005	1.890923e-003	1.054633e-012	1.000002e+000
6.700000e-007	1.731790e-001	0.000000e+000	6.842706e-003	7.991576e-004	8.170273e-001	2.199006e-004	5.606174e-005	1.875381e-003	1.039111e-012	9.999995e-001
6.750000e-007	1.696159e-001	0.000000e+000	7.000205e-003	7.288588e-004	8.205507e-001	2.057381e-004	5.717427e-005	1.839228e-003	1.013388e-012	9.999978e-001
6.800000e-007	1.627057e-001	0.000000e+000	7.116943e-003	6.710527e-004	8.274814e-001	1.889930e-004	5.745977e-005	1.777370e-003	9.748004e-013	9.999989e-001
6.850000e-007	1.544768e-001	0.000000e+000	7.220690e-003	6.284307e-004	8.357567e-001	1.676765e-004	5.687194e-005	1.691328e-003	9.242770e-013	9.999985e-001
6.900000e-007	1.482652e-001	0.000000e+000	7.324527e-003	5.956379e-004	8.420115e-001	1.466575e-004	5.593034e-005	1.598876e-003	8.715115e-013	9.999983e-001
6.950000e-007	1.479663e-001	0.000000e+000	7.481984e-003	5.676181e-004	8.422497e-001	1.292934e-004	5.638765e-005	1.547038e-003	8.419808e-013	9.999983e-001
7.000000e-007	1.574252e-001	0.000000e+000	7.749541e-003	5.333971e-004	8.324858e-001	1.217997e-004	6.157056e-005	1.620835e-003	8.817658e-013	9.999982e-001
7.050000e-007	1.809066e-001	0.000000e+000	8.204752e-003	4.842656e-004	8.082696e-001	1.276147e-004	7.623710e-005	1.928899e-003	1.048883e-012	9.999980e-001
7.100000e-007	1.676975e-001	0.000000e+000	8.291291e-003	4.452088e-004	8.214750e-001	1.081624e-004	7.822921e-005	1.901875e-003	1.034783e-012	9.999973e-001
7.150000e-007	1.522783e-001	0.000000e+000	8.334391e-003	4.145966e-004	8.369170e-001	9.298422e-005	8.047689e-005	1.881385e-003	1.024280e-012	9.999991e-001
7.200000e-007	1.856022e-001	0.000000e+000	9.016507e-003	3.352291e-004	8.023243e-001	1.044904e-004	1.114461e-004	2.504724e-003	1.365853e-012	9.999989e-001
7.250000e-007	2.300518e-001	0.000000e+000	9.846053e-003	2.374160e-004	7.561102e-001	1.216642e-004	1.608657e-004	3.470600e-003	1.897549e-012	9.999986e-001
7.300000e-007	2.792723e-001	0.000000e+000	1.052268e-002	1.589789e-004	7.049024e-001	1.344004e-004	2.307169e-004	4.776787e-003	2.621339e-012	9.999983e-001
7.350000e-007	3.338246e-001	0.000000e+000	1.066501e-002	1.652746e-004	6.484116e-001	1.550676e-004	3.248383e-004	6.451747e-003	3.557403e-012	9.999982e-001
7.400000e-007	4.067281e-001	0.000000e+000	9.927173e-003	3.265849e-004	5.739645e-001	1.668291e-004	4.432576e-004	8.441815e-003	4.682160e-012	9.999983e-001
7.450000e-007	5.145659e-001	0.000000e+000	8.271944e-003	6.790638e-004	4.653544e-001	1.771008e-004	5.693279e-004	1.038076e-002	5.798272e-012	9.999985e-001
7.500000e-007	6.556603e-001	0.000000e+000	6.273016e-003	1.148509e-003	3.245373e-001	1.644767e-004	6.621771e-004	1.155325e-002	6.506657e-012	9.999990e-001
7.550000e-007	7.967032e-001	0.000000e+000	4.953376e-003	1.555314e-003	1.842533e-001	1.403218e-004	6.857958e-004	1.170819e-002	6.531075e-012	9.999995e-001
7.600000e-007	9.008864e-001	0.000000e+000	4.871513e-003	1.761295e-003	8.093967e-002	1.049453e-004	6.457224e-004	1.079023e-002	5.963515e-012	9.999998e-001
7.650000e-007	9.580700e-001	0.000000e+000	5.798943e-003	1.777086e-003	2.395594e-002	7.017702e-005	5.768406e-004	9.750997e-003	5.193345e-012	1.000000e+000
7.700000e-007	9.797117e-001	0.000000e+000	7.225777e-003	1.677701e-003	2.177639e-003	4.173491e-005	5.064843e-004	8.659025e-003	4.447557e-012	1.000000e+000
7.750000e-007	9.814732e-001	0.000000e+000	8.787571e-003	1.535349e-003	0.000000e+000	1.905641e-005	4.477787e-004	7.737028e-003	3.835265e-012	1.000000e+000
7.800000e-007	9.808014e-001	0.000000e+000	1.035730e-002	1.388800e-003	0.000000e+000	1.724962e-006	4.036214e-004	7.047132e-003	3.373681e-012	1.000000e+000
7.850000e-007	9.799454e-001	0.000000e+000	1.188850e-002	1.251647e-003	0.000000e+000	1.027704e-006	3.710626e-004	6.542366e-003	3.026820e-012	1.000000e+000
7.900000e-007	9.789704e-001	0.000000e+000	1.337373e-002	1.124209e-003	0.000000e+000	4.594678e-007	3.473613e-004	6.183776e-003	2.766587e-012	1.000000e+000
7.950000e-007	9.778664e-001	0.000000e+000	1.485009e-002	1.008761e-003	0.000000e+000	2.146831e-007	3.308608e-004	5.943589e-003	2.573038e-012	1.000000e+000
8.000000e-007	9.766858e-001	0.000000e+000	1.629149e-002	9.027029e-004	0.000000e+000	0.000000e+000	3.199920e-004	5.799923e-003	2.430999e-012	1.000000e+000
8.050000e-007	9.754474e-001	0.000000e+000	1.769337e-002	8.066771e-004	0.000000e+000	0.000000e+000	3.140867e-004	5.738416e-003	2.330069e-012	1.000000e+000
8.100000e-007	9.741520e-001	0.000000e+000	1.906831e-002	7.178575e-004	0.000000e+000	0.000000e+000	3.122270e-004	5.749619e-003	2.262925e-012	1.000000e+000
8.150000e-007	9.727991e-001	0.000000e+000	2.042326e-002	6.364053e-004	0.000000e+000	0.000000e+000	3.139776e-004	5.827201e-003	2.224219e-012	1.000000e+000
8.200000e-007	9.714005e-001	0.000000e+000	2.175195e-002	5.602880e-004	0.000000e+000	0.000000e+000	3.190905e-004	5.968110e-003	2.210369e-012	1.000000e+000
8.250000e-007	9.700381e-001	0.000000e+000	2.308421e-002	4.894637e-004	0.000000e+000	0.000000e+000	3.274049e-004	6.060859e-003	2.180849e-012	1.000000e+000
8.300000e-007	9.686513e-001	0.000000e+000	2.437641e-002	4.227438e-004	0.000000e+000	0.000000e+000	3.388632e-004	6.210652e-003	2.171862e-012	1.000000e+000
8.350000e-007	9.672842e-001	0.000000e+000	2.560009e-002	3.603764e-004	0.000000e+000	0.000000e+000	3.535457e-004	6.401747e-003	2.176657e-012	9.999999e-001
8.400000e-007	9.659373e-001	0.000000e+000	2.674426e-002	3.015883e-004	0.000000e+000	0.000000e+000	3.713620e-004	6.645464e-003	2.197642e-012	9.999999e-001
8.450000e-007	9.646055e-001	0.000000e+000	2.781501e-002	2.468889e-004	0.000000e+000	0.000000e+000	3.924562e-004	6.940097e-003	2.232947e-012	9.999999e-001
8.500000e-007	9.633676e-001	0.000000e+000	2.873713e-002	1.960183e-004	0.000000e+000	0.000000e+000	4.166116e-004	7.282536e-003	2.280423e-012	9.999999e-001
8.550000e-007	9.622685e-001	0.000000e+000	2.946983e-002	1.496757e-004	0.000000e+000	0.000000e+000	4.438022e-004	7.668104e-003	2.337637e-012	9.999999e-001
8.600000e-007	9.613791e-001	0.000000e+000	2.994887e-002	1.084090e-004	0.000000e+000	0.000000e+000	4.735601e-004	8.089971e-003	2.401740e-012	9.999999e-001
8.650000e-007	9.607642e-001	0.000000e+000	3.011846e-002	7.334688e-005	0.000000e+000	0.000000e+000	5.057017e-004	8.538203e-003	2.469263e-012	1.000000e+000
8.700000e-007	9.605084e-001	0.000000e+000	2.990996e-002	4.542379e-005	0.000000e+000	0.000000e+000	5.390229e-004	8.997182e-003	2.535470e-012	1.000000e+000
8.750000e-007	9.606503e-001	0.000000e+000	2.930477e-002	2.588616e-005	0.000000e+000	0.000000e+000	5.724870e-004	9.446507e-003	2.594786e-012	9.999999e-001
8.800000e-007	9.612917e-001	0.000000e+000	2.822548e-002	1.577036e-005	0.000000e+000	0.000000e+000	6.044480e-004	9.862649e-003	2.641358e-012	1.000000e+000
8.850000e-007	9.624761e-001	0.000000e+000	2.665507e-002	1.584464e-005	0.000000e+000	0.000000e+000	6.334165e-004	1.021960e-002	2.669280e-012	1.000000e+000
8.900000e-007	9.641851e-001	0.000000e+000	2.463988e-002	2.626999e-005	0.000000e+000	0.000000e+000	6.574450e-004	1.049138e-002	2.673253e-012	1.000000e+000
